date,category,day_n,day_tone,day_tone_sd
2022-12-25,hyperscalers,1135,-0.8408661897619776,2.728781756084981
2022-12-25,macro,955,-2.0621876837450133,2.591287487881524
2022-12-25,nvda,36,-0.3901860691255539,2.186521434088129
2022-12-26,ai_companies,1,-3.16184351554127,
2022-12-26,brokers,258,-0.294245040734545,2.04944388447982
2022-12-26,competitors,134,1.56032655992665,2.386540997077052
2022-12-26,hyperscalers,1684,-0.4048211943570583,2.882079718850809
2022-12-26,macro,1928,-1.6918491897087715,2.819086217747976
2022-12-26,nvda,60,-0.1226814514360967,2.01357735536712
2022-12-27,ai_companies,4,2.878182485819415,3.6796353018291135
2022-12-27,brokers,1000,-2.453362282127724,2.2581986063264643
2022-12-27,competitors,194,1.1569790357399652,2.547268315858959
2022-12-27,hyperscalers,2165,-0.1462203589694704,2.785826248590395
2022-12-27,macro,2424,-2.2875618573498766,2.6651923955481047
2022-12-27,nvda,118,-0.1669991863884518,2.7685936006094747
2022-12-28,ai_companies,4,-0.298519631476875,2.9348623232733924
2022-12-28,brokers,931,-1.601955505297242,2.802293855230207
2022-12-28,competitors,214,1.280053891510722,2.4571450727876067
2022-12-28,hyperscalers,2095,-0.1866233696622734,2.960129490736903
2022-12-28,macro,3001,-2.3776370026241382,2.592163224532028
2022-12-28,nvda,112,-1.142488296993575,2.7278781726955805
2022-12-29,ai_companies,3,2.875380036676547,1.2758835433036633
2022-12-29,brokers,1185,-1.8829507333359303,2.277380109620099
2022-12-29,competitors,248,0.9281808496771256,2.410784876970224
2022-12-29,hyperscalers,2139,-0.2029645560644661,2.589412020650817
2022-12-29,macro,2228,-1.7973924871184703,2.6181564184015245
2022-12-29,nvda,116,-0.0130392262276435,2.4284346496508324
2022-12-30,ai_companies,7,1.5720239908993687,2.7913256212178883
2022-12-30,brokers,803,-0.5824208229239891,2.562237931313375
2022-12-30,competitors,193,0.6768130114860006,2.317971806030058
2022-12-30,hyperscalers,1987,-0.2088603128273213,2.7924207924771096
2022-12-30,macro,3418,-2.3060593445224584,2.529665741044981
2022-12-30,nvda,134,-0.5258825235991772,2.316905934421784
2022-12-31,ai_companies,1,2.68833383488815,
2022-12-31,brokers,315,-0.7471885314271967,3.11331877645076
